objectid,filename,youtubeid,title,format,description,creator,recipient,date,date-is-approximate?,item_information,subject,location,latitude,longitude,related_publication,publisher-digital,source,findingaid,original-identifier,identifier,rights,rightsstatement,type,language,relation
Moore1,Moore1.jpg,,"Fluke, or, I know why the winged whale sings",image/jpeg,"Just why do humpback whales sing? That's the question that has marine behavioral biologist Nate Quinn and his crew poking, charting, recording, and photographing very big, wet, gray marine mammals. Until the extraordinary day when a whale lifts its tail into the air to display a cryptic message spelled out in foot-high letters: Bite me. Trouble is, Nate's beginning to wonder if he hasn't spent just a little too much time in the sun. 'Cause no one else on his team saw a thing, not his longtime partner, Clay Demodocus; not their saucy young research assistant; not even the spliff-puffing white-boy Rastaman Kona (ne Preston Applebaum). But later, when a roll of film returns from the lab missing the crucial tail shot, and his research facility is trashed, Nate realizes something very fishy indeed is going on. By turns witty, irreverent, fascinating, puzzling, and surprising, Fluke is Christopher Moore at his outrageous best","Moore, Christopher",,2004,,324,whales; ocean; singing; biology; boats,,,,,,,,,978-0-06-056668-5,,,,,
Moore2,Moore2.jpg,,The lust lizard of Melancholy Cove,image/jpeg,"A comedy on a town where hundreds of inhabitants are on anti-depressants, prescribed by Dr. Valerie Riordan. After a patient dies she asks the druggist to substitute placebos. Freed of drugs, the town comes alive with wine and song, so loud it even awakens a sea monster","Moore, Christopher",,2004,,304,lizards; lust; melancholy; depression; anti-depressants; sea monsters,,,,,,,,,978-0-06-073545-6,,,,,
Moore3,Moore3.jpg,,"Lamb: the Gospel according to Biff, Christ's childhood pal",image/jpeg,"Everyone knows about the immaculate conception and the crucifixion. But what happened to Jesus between the manger and the Sermon on the Mount? In this hilarious and bold novel, the acclaimed Christopher Moore shares the greatest story never told: the life of Christ as seen by his boyhood pal, Biff.","Moore, Christopher",,2004,,444,Jesus; Mary; Joseph; bible; rabbits; angels; Gabriel,,,,,,,,,978-0-380-81381-0,,,,,
Moore4,Moore4.jpg,,The stupidest angel,image/jpeg,"Twas the night (okay, more like the week) before Christmas, and all through the tiny community of Pine Cove, California, people are busy buying, wrapping, packing, and generally getting into the holiday spirit. But not everybody is feeling the joy. Little Joshua Barker is in desperate need of a holiday miracle. No, he's not on his deathbed; no, his dog hasn't run away from home. But Josh is sure that he saw Santa take a shovel to the head, and now the seven-year-old has only one prayer: Please, Santa, come back from the dead.","Moore, Christopher",,2005,,306,angels; Christmas; commercialism; miracles,,,,,,,,,978-0-06-084235-2,,,,,
Moore5,Moore5.jpg,,A dirty job,image/jpeg,"Charlie Asher, a neurotic and anxious hypochondriac who hates change, confronts the challenges of being a widower and a single parent when his wife dies of a freak medical condition on the day his new daughter, Sophie, is born","Moore, Christopher",,2006,,387,widowhood; parenting; demons; souls; death,,,,,,,,,978-0-06-059028-4,,,,,
Moore6,Moore6.jpg,,Practical demonkeeping: a comedy of horrors,image/jpeg,"In Christopher Moore's ingenious debut novel, we meet one of the most memorably mismatched pairs in the annals of literature. The good-looking one is one-hundred-year-old ex-seminarian and ""roads"" scholar Travis O'Hearn. The green one is Catch, a demon with a nasty habit of eating most of the people he meets. Behind the fake Tudor facade of Pine Cove, California, Catch sees a four-star buffet. Travis, on the other hand, thinks he sees a way of ridding himself of his toothy traveling companion. The winos, neo-pagans, and deadbeat Lotharios of Pine Cove, meanwhile, have other ideas. And none of them is quite prepared when all hell breaks loose.","Moore, Christopher",,2006,,243,demons; road trips; buddy comedy,,,,,,,,,978-0-06-117662-3,,,,,
Moore7,Moore7.jpg,,Bloodsucking fiends: a love story,image/jpeg,"Jody never asked to become a vampire. But when she wakes up under an alley dumpster with a badly burned arm, an aching neck, superhuman strength, and a distinctly Nosferatuan thirst, she realizes the decision has been made for her.","Moore, Christopher",,2008,,290,vampires; love,,,,,,,,,978-1-4165-5849-1,,,,,
Moore8,Moore8.jpg,,You suck: a love story,image/jpeg,"Waking up to discover that his girlfriend is a vampire and has transformed him into one, Thomas C. Flood adapts to his new powers while dealing with a dangerous faction of bloodsuckers trying to kill off all other vampires","Moore, Christopher",,2008,,328,vampires; love,,,,,,,,,978-0-06-059030-7,,,,,
Moore9,Moore9.jpg,,Coyote Blue,image/jpeg,"From master of subversive humor Christopher Moore comes a quirky, irreverent novel of love, myth, metaphysics, outlaw biking, angst, and outrageous redemption. As a boy, he was Samson Hunts Alone -- until a deadly misunderstanding with the law forced him to flee the Crow reservation at age fifteen. Today he is Samuel Hunter, a successful Santa Barbara insurance salesman with a Mercedes, a condo, and a hollow, invented life. Then one day, destiny offers him the dangerous gift of love -- in the exquisite form of Calliope Kincaid -- and a curse in the unheralded appearance of an ancient god by the name of Coyote. Coyote, the trickster, has arrived to reawaken the mystical storyteller within Sam ... and to seriously screw up his existence in the process","Moore, Christopher",,2009,,303,trickster; love; myth; metaphysics; outlaw biking; angst; outrageous redemption,,,,,,,,,978-1-4391-9148-4,,,,,
Moore10,Moore10.jpg,,Fool,image/jpeg,"Pocket, King Lear's fool, sets out to straighten out the mess the mad king has made of the kingdom and the royal family, only to discover the truth about his own heritage","Moore, Christopher",,2009,,311,Shakespeare; Lear; Pocket; Cordelia; Regan; Goneril; ocean; storm; madness,,,,,,,,,978-0-06-059031-4,,,,,
